model_name,score_mean,test_score
linear_regression,0.8427292090403598,0.7971924202569202
lasso,0.6981793122775631,0.68863944549457
svm,0.5476241556057607,0.45178502600635884
dt,0.68424326523407,0.6492169365717417
rf,0.786201664623549,0.6980803317363129
